,experiment count,level,index,model,prompting,scenario file path,log file path,success,generating time,video path
0,1,1,1,o4-mini,fs,../../src/esmini/01_gen_single_01.xosc,../../src/logs/20250607_023657_gpt_fs/log_20250607_023657_o4-mini_fs_01_01_success.txt,True,23.479759,../../src/logs/20250607_023657_gpt_fs/100m앞낙석이발생하는상황_01_01.mp4
1,1,1,2,o4-mini,fs,../../src/esmini/01_gen_single_02.xosc,../../src/logs/20250607_023657_gpt_fs/log_20250607_023657_o4-mini_fs_01_02_success.txt,True,22.542647,../../src/logs/20250607_023657_gpt_fs/갑작스러운보행자침입하는상황_01_02.mp4
2,1,1,3,o4-mini,fs,../../src/esmini/01_gen_single_03.xosc,../../src/logs/20250607_023657_gpt_fs/log_20250607_023657_o4-mini_fs_01_03_success.txt,True,11.149185,../../src/logs/20250607_023657_gpt_fs/강한햇빛으로인해시야확보불가상황_01_03.mp4
3,1,1,4,o4-mini,fs,../../src/esmini/01_gen_single_04.xosc,../../src/logs/20250607_023657_gpt_fs/log_20250607_023657_o4-mini_fs_01_04_success.txt,True,7.242559,../../src/logs/20250607_023657_gpt_fs/짙은안개로인한시야확보불가상황_01_04.mp4
4,1,1,5,o4-mini,fs,../../src/esmini/01_gen_single_05.xosc,../../src/logs/20250607_023657_gpt_fs/log_20250607_023657_o4-mini_fs_01_05_success.txt,True,16.119556,../../src/logs/20250607_023657_gpt_fs/2초뒤부터뒷차량이내차보다고속주행하는상황_01_05.mp4
5,1,1,6,o4-mini,fs,../../src/esmini/01_gen_single_06.xosc,../../src/logs/20250607_023657_gpt_fs/log_20250607_023657_o4-mini_fs_01_06_success.txt,True,22.997113,../../src/logs/20250607_023657_gpt_fs/갑작스러운차량차선변경으로인한간섭상황_01_06.mp4
6,1,1,7,o4-mini,fs,../../src/esmini/01_gen_single_07.xosc,../../src/logs/20250607_023657_gpt_fs/log_20250607_023657_o4-mini_fs_01_07_success.txt,True,13.892478,../../src/logs/20250607_023657_gpt_fs/도로중간에블랙아이스가존재하는상황_01_07.mp4
7,1,1,8,o4-mini,fs,../../src/esmini/01_gen_single_08.xosc,../../src/logs/20250607_023657_gpt_fs/log_20250607_023657_o4-mini_fs_01_08_success.txt,True,60.934794,../../src/logs/20250607_023657_gpt_fs/중앙선넘어반대편차선에서차량이주행하는상황_01_08.mp4
8,1,1,9,o4-mini,fs,../../src/esmini/01_gen_single_09.xosc,../../src/logs/20250607_023657_gpt_fs/log_20250607_023657_o4-mini_fs_01_09_success.txt,True,9.884067,../../src/logs/20250607_023657_gpt_fs/하나의차선에서바리케이드쳐져있는상황_01_09.mp4
9,1,1,10,o4-mini,fs,../../src/esmini/01_gen_single_10.xosc,../../src/logs/20250607_023657_gpt_fs/log_20250607_023657_o4-mini_fs_01_10_success.txt,True,32.170585,../../src/logs/20250607_023657_gpt_fs/사고난차량이정차되어있는상황_01_10.mp4
10,1,2,1,o4-mini,fs,../../src/esmini/01_gen_double_01.xosc,../../src/logs/20250607_023657_gpt_fs/log_20250607_023657_o4-mini_fs_01_01_fail.txt,False,19.044997,
11,1,2,2,o4-mini,fs,../../src/esmini/01_gen_double_02.xosc,../../src/logs/20250607_023657_gpt_fs/log_20250607_023657_o4-mini_fs_01_02_success.txt,True,39.53578,../../src/logs/20250607_023657_gpt_fs/갑작스럽게보행자가침입하여앞차량한대가급정거하는상황_01_02.mp4
12,1,2,3,o4-mini,fs,../../src/esmini/01_gen_double_03.xosc,../../src/logs/20250607_023657_gpt_fs/log_20250607_023657_o4-mini_fs_01_03_success.txt,True,19.332681,../../src/logs/20250607_023657_gpt_fs/눈으로인해도로위장애물존재상황_01_03.mp4
13,1,2,4,o4-mini,fs,../../src/esmini/01_gen_double_04.xosc,../../src/logs/20250607_023657_gpt_fs/log_20250607_023657_o4-mini_fs_01_04_success.txt,True,17.431963,../../src/logs/20250607_023657_gpt_fs/비가많이내리고2초뒤부터뒷차량이내차보다고속주행하는상황_01_04.mp4
14,1,2,5,o4-mini,fs,../../src/esmini/01_gen_double_05.xosc,../../src/logs/20250607_023657_gpt_fs/log_20250607_023657_o4-mini_fs_01_05_success.txt,True,46.909299,../../src/logs/20250607_023657_gpt_fs/낙석이발생하여앞차량이급정거하는상황_01_05.mp4
15,1,2,6,o4-mini,fs,../../src/esmini/01_gen_double_06.xosc,../../src/logs/20250607_023657_gpt_fs/log_20250607_023657_o4-mini_fs_01_06_fail.txt,False,21.178264,
16,1,2,7,o4-mini,fs,../../src/esmini/01_gen_double_07.xosc,../../src/logs/20250607_023657_gpt_fs/log_20250607_023657_o4-mini_fs_01_07_success.txt,True,30.894382,../../src/logs/20250607_023657_gpt_fs/비가많이오는상황에서보행자가침입하는상황_01_07.mp4
17,1,2,8,o4-mini,fs,../../src/esmini/01_gen_double_08.xosc,../../src/logs/20250607_023657_gpt_fs/log_20250607_023657_o4-mini_fs_01_08_success.txt,True,34.917777,../../src/logs/20250607_023657_gpt_fs/안개로인해시야확보가안되는상황에서보행자침입_01_08.mp4
18,1,2,9,o4-mini,fs,../../src/esmini/01_gen_double_09.xosc,../../src/logs/20250607_023657_gpt_fs/log_20250607_023657_o4-mini_fs_01_09_success.txt,True,23.687026,../../src/logs/20250607_023657_gpt_fs/도로에블랙아이스가존재하고중앙선넘어반대편차선에서차량이주행하는상황_01_09.mp4
