,experiment count,level,index,model,prompting,scenario file path,log file path,success,generating time,video path
0,1,1,1,o4-mini,cot,src\esmini\gen_20250608_005053_o4-mini_cot_01_01_01.xosc,src\logs\20250608_005053_gpt_cot\log_20250608_005053_o4-mini_cot_01_01_01_fail.txt,False,15.323959,
1,1,1,2,o4-mini,cot,src\esmini\gen_20250608_005053_o4-mini_cot_01_01_02.xosc,src\logs\20250608_005053_gpt_cot\log_20250608_005053_o4-mini_cot_01_01_02_fail.txt,False,25.929998,
2,1,1,3,o4-mini,cot,src\esmini\gen_20250608_005053_o4-mini_cot_01_01_03.xosc,src\logs\20250608_005053_gpt_cot\log_20250608_005053_o4-mini_cot_01_01_03_fail.txt,False,20.347304,
3,1,1,4,o4-mini,cot,src\esmini\gen_20250608_005053_o4-mini_cot_01_01_04.xosc,src\logs\20250608_005053_gpt_cot\log_20250608_005053_o4-mini_cot_01_01_04_fail.txt,False,13.753119,
4,1,1,5,o4-mini,cot,src\esmini\gen_20250608_005053_o4-mini_cot_01_01_05.xosc,src\logs\20250608_005053_gpt_cot\log_20250608_005053_o4-mini_cot_01_01_05_fail.txt,False,19.84169,
5,1,1,6,o4-mini,cot,src\esmini\gen_20250608_005053_o4-mini_cot_01_01_06.xosc,src\logs\20250608_005053_gpt_cot\log_20250608_005053_o4-mini_cot_01_01_06_fail.txt,False,23.068673,
6,1,1,7,o4-mini,cot,src\esmini\gen_20250608_005053_o4-mini_cot_01_01_07.xosc,src\logs\20250608_005053_gpt_cot\log_20250608_005053_o4-mini_cot_01_01_07_fail.txt,False,9.11458,
7,1,1,8,o4-mini,cot,src\esmini\gen_20250608_005053_o4-mini_cot_01_01_08.xosc,src\logs\20250608_005053_gpt_cot\log_20250608_005053_o4-mini_cot_01_01_08_success.txt,True,12.433409,src\logs\20250608_005053_gpt_cot\중앙선넘어반대편차선에서차량이주행하는상황_01_01_08.mp4
8,1,1,9,o4-mini,cot,src\esmini\gen_20250608_005053_o4-mini_cot_01_01_09.xosc,src\logs\20250608_005053_gpt_cot\log_20250608_005053_o4-mini_cot_01_01_09_fail.txt,False,14.08809,
9,1,1,10,o4-mini,cot,src\esmini\gen_20250608_005053_o4-mini_cot_01_01_10.xosc,src\logs\20250608_005053_gpt_cot\log_20250608_005053_o4-mini_cot_01_01_10_fail.txt,False,13.59305,
10,1,2,1,o4-mini,cot,src\esmini\gen_20250608_005053_o4-mini_cot_01_02_01.xosc,src\logs\20250608_005053_gpt_cot\log_20250608_005053_o4-mini_cot_01_02_01_fail.txt,False,27.802625,
11,1,2,2,o4-mini,cot,src\esmini\gen_20250608_005053_o4-mini_cot_01_02_02.xosc,src\logs\20250608_005053_gpt_cot\log_20250608_005053_o4-mini_cot_01_02_02_fail.txt,False,36.921572,
12,1,2,3,o4-mini,cot,src\esmini\gen_20250608_005053_o4-mini_cot_01_02_03.xosc,src\logs\20250608_005053_gpt_cot\log_20250608_005053_o4-mini_cot_01_02_03_fail.txt,False,17.989971,
13,1,2,4,o4-mini,cot,src\esmini\gen_20250608_005053_o4-mini_cot_01_02_04.xosc,src\logs\20250608_005053_gpt_cot\log_20250608_005053_o4-mini_cot_01_02_04_success.txt,True,20.285938,src\logs\20250608_005053_gpt_cot\비가많이내리고2초뒤부터뒷차량이내차보다고속주행하는상황_01_02_04.mp4
14,1,2,5,o4-mini,cot,src\esmini\gen_20250608_005053_o4-mini_cot_01_02_05.xosc,src\logs\20250608_005053_gpt_cot\log_20250608_005053_o4-mini_cot_01_02_05_success.txt,True,31.708027,src\logs\20250608_005053_gpt_cot\낙석이발생하여앞차량이급정거하는상황_01_02_05.mp4
15,1,2,6,o4-mini,cot,src\esmini\gen_20250608_005053_o4-mini_cot_01_02_06.xosc,src\logs\20250608_005053_gpt_cot\log_20250608_005053_o4-mini_cot_01_02_06_success.txt,True,5.482669,src\logs\20250608_005053_gpt_cot\눈으로인해도로가미끄러운상황에서갑작스러운앞차량차선변경하는상황_01_02_06.mp4
16,1,2,7,o4-mini,cot,src\esmini\gen_20250608_005053_o4-mini_cot_01_02_07.xosc,src\logs\20250608_005053_gpt_cot\log_20250608_005053_o4-mini_cot_01_02_07_fail.txt,False,22.190321,
17,1,2,8,o4-mini,cot,src\esmini\gen_20250608_005053_o4-mini_cot_01_02_08.xosc,src\logs\20250608_005053_gpt_cot\log_20250608_005053_o4-mini_cot_01_02_08_fail.txt,False,30.177713,
18,1,2,9,o4-mini,cot,src\esmini\gen_20250608_005053_o4-mini_cot_01_02_09.xosc,src\logs\20250608_005053_gpt_cot\log_20250608_005053_o4-mini_cot_01_02_09_fail.txt,False,13.093446,
19,1,2,10,o4-mini,cot,src\esmini\gen_20250608_005053_o4-mini_cot_01_02_10.xosc,src\logs\20250608_005053_gpt_cot\log_20250608_005053_o4-mini_cot_01_02_10_fail.txt,False,14.453774,
20,1,3,1,o4-mini,cot,src\esmini\gen_20250608_005053_o4-mini_cot_01_03_01.xosc,src\logs\20250608_005053_gpt_cot\log_20250608_005053_o4-mini_cot_01_03_01_fail.txt,False,24.821878,
21,1,3,2,o4-mini,cot,src\esmini\gen_20250608_005053_o4-mini_cot_01_03_02.xosc,src\logs\20250608_005053_gpt_cot\log_20250608_005053_o4-mini_cot_01_03_02_fail.txt,False,35.400383,
22,1,3,3,o4-mini,cot,src\esmini\gen_20250608_005053_o4-mini_cot_01_03_03.xosc,src\logs\20250608_005053_gpt_cot\log_20250608_005053_o4-mini_cot_01_03_03_fail.txt,False,24.42693,
23,1,3,4,o4-mini,cot,src\esmini\gen_20250608_005053_o4-mini_cot_01_03_04.xosc,src\logs\20250608_005053_gpt_cot\log_20250608_005053_o4-mini_cot_01_03_04_fail.txt,False,21.510865,
24,1,3,5,o4-mini,cot,src\esmini\gen_20250608_005053_o4-mini_cot_01_03_05.xosc,src\logs\20250608_005053_gpt_cot\log_20250608_005053_o4-mini_cot_01_03_05_success.txt,True,4.420427,src\logs\20250608_005053_gpt_cot\눈이내리고도로가얼어붙어미끄러운상황에서중앙선넘어반대편차선에서차량이주행하는상황_01_03_05.mp4
25,1,4,1,o4-mini,cot,src\esmini\gen_20250608_005053_o4-mini_cot_01_04_01.xosc,src\logs\20250608_005053_gpt_cot\log_20250608_005053_o4-mini_cot_01_04_01_fail.txt,False,31.106329,
26,1,4,2,o4-mini,cot,src\esmini\gen_20250608_005053_o4-mini_cot_01_04_02.xosc,src\logs\20250608_005053_gpt_cot\log_20250608_005053_o4-mini_cot_01_04_02_fail.txt,False,33.796007,
27,1,4,3,o4-mini,cot,src\esmini\gen_20250608_005053_o4-mini_cot_01_04_03.xosc,src\logs\20250608_005053_gpt_cot\log_20250608_005053_o4-mini_cot_01_04_03_fail.txt,False,63.981912,
28,1,4,4,o4-mini,cot,src\esmini\gen_20250608_005053_o4-mini_cot_01_04_04.xosc,src\logs\20250608_005053_gpt_cot\log_20250608_005053_o4-mini_cot_01_04_04_success.txt,True,6.884909,src\logs\20250608_005053_gpt_cot\비와눈이같이오는상황에서도로가블랙아이스들로매우미끄러울때중앙선넘어반대편차선에서차량이주행하는상황_01_04_04.mp4
29,1,4,5,o4-mini,cot,src\esmini\gen_20250608_005053_o4-mini_cot_01_04_05.xosc,src\logs\20250608_005053_gpt_cot\log_20250608_005053_o4-mini_cot_01_04_05_fail.txt,False,20.572388,
30,2,1,1,o4-mini,cot,src\esmini\gen_20250608_005053_o4-mini_cot_02_01_01.xosc,src\logs\20250608_005053_gpt_cot\log_20250608_005053_o4-mini_cot_02_01_01_fail.txt,False,21.78252,
31,2,1,2,o4-mini,cot,src\esmini\gen_20250608_005053_o4-mini_cot_02_01_02.xosc,src\logs\20250608_005053_gpt_cot\log_20250608_005053_o4-mini_cot_02_01_02_fail.txt,False,17.970942,
32,2,1,3,o4-mini,cot,src\esmini\gen_20250608_005053_o4-mini_cot_02_01_03.xosc,src\logs\20250608_005053_gpt_cot\log_20250608_005053_o4-mini_cot_02_01_03_fail.txt,False,9.731475,
33,2,1,4,o4-mini,cot,src\esmini\gen_20250608_005053_o4-mini_cot_02_01_04.xosc,src\logs\20250608_005053_gpt_cot\log_20250608_005053_o4-mini_cot_02_01_04_success.txt,True,7.364614,src\logs\20250608_005053_gpt_cot\짙은안개로인한시야확보불가상황_02_01_04.mp4
34,2,1,5,o4-mini,cot,src\esmini\gen_20250608_005053_o4-mini_cot_02_01_05.xosc,src\logs\20250608_005053_gpt_cot\log_20250608_005053_o4-mini_cot_02_01_05_fail.txt,False,28.051226,
35,2,1,6,o4-mini,cot,src\esmini\gen_20250608_005053_o4-mini_cot_02_01_06.xosc,src\logs\20250608_005053_gpt_cot\log_20250608_005053_o4-mini_cot_02_01_06_fail.txt,False,23.478104,
36,2,1,7,o4-mini,cot,src\esmini\gen_20250608_005053_o4-mini_cot_02_01_07.xosc,src\logs\20250608_005053_gpt_cot\log_20250608_005053_o4-mini_cot_02_01_07_fail.txt,False,19.48276,
37,2,1,8,o4-mini,cot,src\esmini\gen_20250608_005053_o4-mini_cot_02_01_08.xosc,src\logs\20250608_005053_gpt_cot\log_20250608_005053_o4-mini_cot_02_01_08_success.txt,True,18.253316,src\logs\20250608_005053_gpt_cot\중앙선넘어반대편차선에서차량이주행하는상황_02_01_08.mp4
38,2,1,9,o4-mini,cot,src\esmini\gen_20250608_005053_o4-mini_cot_02_01_09.xosc,src\logs\20250608_005053_gpt_cot\log_20250608_005053_o4-mini_cot_02_01_09_fail.txt,False,15.45468,
39,2,1,10,o4-mini,cot,src\esmini\gen_20250608_005053_o4-mini_cot_02_01_10.xosc,src\logs\20250608_005053_gpt_cot\log_20250608_005053_o4-mini_cot_02_01_10_fail.txt,False,20.854908,
40,2,2,1,o4-mini,cot,src\esmini\gen_20250608_005053_o4-mini_cot_02_02_01.xosc,src\logs\20250608_005053_gpt_cot\log_20250608_005053_o4-mini_cot_02_02_01_fail.txt,False,18.710853,
41,2,2,2,o4-mini,cot,src\esmini\gen_20250608_005053_o4-mini_cot_02_02_02.xosc,src\logs\20250608_005053_gpt_cot\log_20250608_005053_o4-mini_cot_02_02_02_fail.txt,False,23.885575,
