,experiment count,level,index,model,prompting,scenario file path,log file path,success,generating time,video path
0,1,1,1,o4-mini,fs_cot,../../src/esmini\gen_20250608_005053_o4-mini_fs_cot_01_01_01.xosc,../../src/logs\20250608_005053_gpt_fs_cot\log_20250608_005053_o4-mini_fs_cot_01_01_01_success.txt,True,23.92389,../../src/logs\20250608_005053_gpt_fs_cot\100m앞낙석이발생하는상황_01_01_01.mp4
1,1,1,2,o4-mini,fs_cot,../../src/esmini\gen_20250608_005053_o4-mini_fs_cot_01_01_02.xosc,../../src/logs\20250608_005053_gpt_fs_cot\log_20250608_005053_o4-mini_fs_cot_01_01_02_fail.txt,False,26.399074,
2,1,1,3,o4-mini,fs_cot,../../src/esmini\gen_20250608_005053_o4-mini_fs_cot_01_01_03.xosc,../../src/logs\20250608_005053_gpt_fs_cot\log_20250608_005053_o4-mini_fs_cot_01_01_03_success.txt,True,11.460862,../../src/logs\20250608_005053_gpt_fs_cot\강한햇빛으로인해시야확보불가상황_01_01_03.mp4
3,1,1,4,o4-mini,fs_cot,../../src/esmini\gen_20250608_005053_o4-mini_fs_cot_01_01_04.xosc,../../src/logs\20250608_005053_gpt_fs_cot\log_20250608_005053_o4-mini_fs_cot_01_01_04_success.txt,True,6.181515,../../src/logs\20250608_005053_gpt_fs_cot\짙은안개로인한시야확보불가상황_01_01_04.mp4
4,1,1,5,o4-mini,fs_cot,../../src/esmini\gen_20250608_005053_o4-mini_fs_cot_01_01_05.xosc,../../src/logs\20250608_005053_gpt_fs_cot\log_20250608_005053_o4-mini_fs_cot_01_01_05_success.txt,True,18.842834,../../src/logs\20250608_005053_gpt_fs_cot\2초뒤부터뒷차량이내차보다고속주행하는상황_01_01_05.mp4
5,1,1,6,o4-mini,fs_cot,../../src/esmini\gen_20250608_005053_o4-mini_fs_cot_01_01_06.xosc,../../src/logs\20250608_005053_gpt_fs_cot\log_20250608_005053_o4-mini_fs_cot_01_01_06_success.txt,True,20.865097,../../src/logs\20250608_005053_gpt_fs_cot\갑작스러운차량차선변경으로인한간섭상황_01_01_06.mp4
6,1,1,7,o4-mini,fs_cot,../../src/esmini\gen_20250608_005053_o4-mini_fs_cot_01_01_07.xosc,../../src/logs\20250608_005053_gpt_fs_cot\log_20250608_005053_o4-mini_fs_cot_01_01_07_success.txt,True,7.719517,../../src/logs\20250608_005053_gpt_fs_cot\도로중간에블랙아이스가존재하는상황_01_01_07.mp4
7,1,1,8,o4-mini,fs_cot,../../src/esmini\gen_20250608_005053_o4-mini_fs_cot_01_01_08.xosc,../../src/logs\20250608_005053_gpt_fs_cot\log_20250608_005053_o4-mini_fs_cot_01_01_08_success.txt,True,25.211571,../../src/logs\20250608_005053_gpt_fs_cot\중앙선넘어반대편차선에서차량이주행하는상황_01_01_08.mp4
8,1,1,9,o4-mini,fs_cot,../../src/esmini\gen_20250608_005053_o4-mini_fs_cot_01_01_09.xosc,../../src/logs\20250608_005053_gpt_fs_cot\log_20250608_005053_o4-mini_fs_cot_01_01_09_success.txt,True,22.297521,../../src/logs\20250608_005053_gpt_fs_cot\하나의차선에서바리케이드쳐져있는상황_01_01_09.mp4
9,1,1,10,o4-mini,fs_cot,../../src/esmini\gen_20250608_005053_o4-mini_fs_cot_01_01_10.xosc,../../src/logs\20250608_005053_gpt_fs_cot\log_20250608_005053_o4-mini_fs_cot_01_01_10_fail.txt,False,19.828306,
10,1,2,1,o4-mini,fs_cot,../../src/esmini\gen_20250608_005053_o4-mini_fs_cot_01_02_01.xosc,../../src/logs\20250608_005053_gpt_fs_cot\log_20250608_005053_o4-mini_fs_cot_01_02_01_success.txt,True,29.432238,../../src/logs\20250608_005053_gpt_fs_cot\눈으로인해시야확보가안되는상황에서낙석발생_01_02_01.mp4
11,1,2,2,o4-mini,fs_cot,../../src/esmini\gen_20250608_005053_o4-mini_fs_cot_01_02_02.xosc,../../src/logs\20250608_005053_gpt_fs_cot\log_20250608_005053_o4-mini_fs_cot_01_02_02_success.txt,True,54.799604,../../src/logs\20250608_005053_gpt_fs_cot\갑작스럽게보행자가침입하여앞차량한대가급정거하는상황_01_02_02.mp4
12,1,2,3,o4-mini,fs_cot,../../src/esmini\gen_20250608_005053_o4-mini_fs_cot_01_02_03.xosc,../../src/logs\20250608_005053_gpt_fs_cot\log_20250608_005053_o4-mini_fs_cot_01_02_03_fail.txt,False,30.261933,
13,1,2,4,o4-mini,fs_cot,../../src/esmini\gen_20250608_005053_o4-mini_fs_cot_01_02_04.xosc,../../src/logs\20250608_005053_gpt_fs_cot\log_20250608_005053_o4-mini_fs_cot_01_02_04_fail.txt,False,33.215796,
14,1,2,5,o4-mini,fs_cot,../../src/esmini\gen_20250608_005053_o4-mini_fs_cot_01_02_05.xosc,../../src/logs\20250608_005053_gpt_fs_cot\log_20250608_005053_o4-mini_fs_cot_01_02_05_success.txt,True,21.082767,../../src/logs\20250608_005053_gpt_fs_cot\낙석이발생하여앞차량이급정거하는상황_01_02_05.mp4
15,1,2,6,o4-mini,fs_cot,../../src/esmini\gen_20250608_005053_o4-mini_fs_cot_01_02_06.xosc,../../src/logs\20250608_005053_gpt_fs_cot\log_20250608_005053_o4-mini_fs_cot_01_02_06_fail.txt,False,24.255948,
16,1,2,7,o4-mini,fs_cot,../../src/esmini\gen_20250608_005053_o4-mini_fs_cot_01_02_07.xosc,../../src/logs\20250608_005053_gpt_fs_cot\log_20250608_005053_o4-mini_fs_cot_01_02_07_success.txt,True,20.495299,../../src/logs\20250608_005053_gpt_fs_cot\비가많이오는상황에서보행자가침입하는상황_01_02_07.mp4
17,1,2,8,o4-mini,fs_cot,../../src/esmini\gen_20250608_005053_o4-mini_fs_cot_01_02_08.xosc,../../src/logs\20250608_005053_gpt_fs_cot\log_20250608_005053_o4-mini_fs_cot_01_02_08_success.txt,True,22.654314,../../src/logs\20250608_005053_gpt_fs_cot\안개로인해시야확보가안되는상황에서보행자침입_01_02_08.mp4
18,1,2,9,o4-mini,fs_cot,../../src/esmini\gen_20250608_005053_o4-mini_fs_cot_01_02_09.xosc,../../src/logs\20250608_005053_gpt_fs_cot\log_20250608_005053_o4-mini_fs_cot_01_02_09_success.txt,True,24.677443,../../src/logs\20250608_005053_gpt_fs_cot\도로에블랙아이스가존재하고중앙선넘어반대편차선에서차량이주행하는상황_01_02_09.mp4
19,1,2,10,o4-mini,fs_cot,../../src/esmini\gen_20250608_005053_o4-mini_fs_cot_01_02_10.xosc,../../src/logs\20250608_005053_gpt_fs_cot\log_20250608_005053_o4-mini_fs_cot_01_02_10_fail.txt,False,20.849805,
20,1,3,1,o4-mini,fs_cot,../../src/esmini\gen_20250608_005053_o4-mini_fs_cot_01_03_01.xosc,../../src/logs\20250608_005053_gpt_fs_cot\log_20250608_005053_o4-mini_fs_cot_01_03_01_fail.txt,False,22.163336,
21,1,3,2,o4-mini,fs_cot,../../src/esmini\gen_20250608_005053_o4-mini_fs_cot_01_03_02.xosc,../../src/logs\20250608_005053_gpt_fs_cot\log_20250608_005053_o4-mini_fs_cot_01_03_02_success.txt,True,24.598679,../../src/logs\20250608_005053_gpt_fs_cot\강한햇빛으로시야식별힘들때앞차량앞으로보행자가돌발적으로나와앞차량이급정거하는상황_01_03_02.mp4
22,1,3,3,o4-mini,fs_cot,../../src/esmini\gen_20250608_005053_o4-mini_fs_cot_01_03_03.xosc,../../src/logs\20250608_005053_gpt_fs_cot\log_20250608_005053_o4-mini_fs_cot_01_03_03_fail.txt,False,18.925656,
23,1,3,4,o4-mini,fs_cot,../../src/esmini\gen_20250608_005053_o4-mini_fs_cot_01_03_04.xosc,../../src/logs\20250608_005053_gpt_fs_cot\log_20250608_005053_o4-mini_fs_cot_01_03_04_success.txt,True,24.863934,../../src/logs\20250608_005053_gpt_fs_cot\강한바람과눈이내리는상황에서낙석상황발생_01_03_04.mp4
24,1,3,5,o4-mini,fs_cot,../../src/esmini\gen_20250608_005053_o4-mini_fs_cot_01_03_05.xosc,../../src/logs\20250608_005053_gpt_fs_cot\log_20250608_005053_o4-mini_fs_cot_01_03_05_fail.txt,False,22.062598,
25,1,4,1,o4-mini,fs_cot,../../src/esmini\gen_20250608_005053_o4-mini_fs_cot_01_04_01.xosc,../../src/logs\20250608_005053_gpt_fs_cot\log_20250608_005053_o4-mini_fs_cot_01_04_01_fail.txt,False,25.916907,
26,1,4,2,o4-mini,fs_cot,../../src/esmini\gen_20250608_005053_o4-mini_fs_cot_01_04_02.xosc,../../src/logs\20250608_005053_gpt_fs_cot\log_20250608_005053_o4-mini_fs_cot_01_04_02_success.txt,True,26.83291,../../src/logs\20250608_005053_gpt_fs_cot\비가강하게내리고블랙아이스로도로가미끄러우며짙은안개가끼어있어시야확보가힘든상황에서100m앞낙석발생_01_04_02.mp4
27,1,4,3,o4-mini,fs_cot,../../src/esmini\gen_20250608_005053_o4-mini_fs_cot_01_04_03.xosc,../../src/logs\20250608_005053_gpt_fs_cot\log_20250608_005053_o4-mini_fs_cot_01_04_03_fail.txt,False,31.068251,
