,experiment count,level,index,model,prompting,scenario file path,log file path,success,generating time,video path
0,1,1,1,gemini-2.5-flash-preview-05-20,cot,src\esmini\gen_20250608_112612_gemini-2.5-flash-preview-05-20_cot_01_01_01.xosc,src\logs\20250608_112612_gemini_cot\log_20250608_112612_gemini-2.5-flash-preview-05-20_cot_01_01_01_fail.txt,False,10.267992,
1,1,1,2,gemini-2.5-flash-preview-05-20,cot,src\esmini\gen_20250608_112612_gemini-2.5-flash-preview-05-20_cot_01_01_02.xosc,src\logs\20250608_112612_gemini_cot\log_20250608_112612_gemini-2.5-flash-preview-05-20_cot_01_01_02_fail.txt,False,17.281143,
2,1,1,3,gemini-2.5-flash-preview-05-20,cot,src\esmini\gen_20250608_112612_gemini-2.5-flash-preview-05-20_cot_01_01_03.xosc,src\logs\20250608_112612_gemini_cot\log_20250608_112612_gemini-2.5-flash-preview-05-20_cot_01_01_03_fail.txt,False,7.639878,
3,1,1,4,gemini-2.5-flash-preview-05-20,cot,src\esmini\gen_20250608_112612_gemini-2.5-flash-preview-05-20_cot_01_01_04.xosc,src\logs\20250608_112612_gemini_cot\log_20250608_112612_gemini-2.5-flash-preview-05-20_cot_01_01_04_fail.txt,False,8.011588,
4,1,1,5,gemini-2.5-flash-preview-05-20,cot,src\esmini\gen_20250608_112612_gemini-2.5-flash-preview-05-20_cot_01_01_05.xosc,src\logs\20250608_112612_gemini_cot\log_20250608_112612_gemini-2.5-flash-preview-05-20_cot_01_01_05_success.txt,True,12.337756,src\logs\20250608_112612_gemini_cot\2초뒤부터뒷차량이내차보다고속주행하는상황_01_01_05.mp4
5,1,1,6,gemini-2.5-flash-preview-05-20,cot,src\esmini\gen_20250608_112612_gemini-2.5-flash-preview-05-20_cot_01_01_06.xosc,src\logs\20250608_112612_gemini_cot\log_20250608_112612_gemini-2.5-flash-preview-05-20_cot_01_01_06_fail.txt,False,29.491204,
6,1,1,7,gemini-2.5-flash-preview-05-20,cot,src\esmini\gen_20250608_112612_gemini-2.5-flash-preview-05-20_cot_01_01_07.xosc,src\logs\20250608_112612_gemini_cot\log_20250608_112612_gemini-2.5-flash-preview-05-20_cot_01_01_07_fail.txt,False,19.008518,
7,1,1,8,gemini-2.5-flash-preview-05-20,cot,src\esmini\gen_20250608_112612_gemini-2.5-flash-preview-05-20_cot_01_01_08.xosc,src\logs\20250608_112612_gemini_cot\log_20250608_112612_gemini-2.5-flash-preview-05-20_cot_01_01_08_success.txt,True,10.456556,src\logs\20250608_112612_gemini_cot\중앙선넘어반대편차선에서차량이주행하는상황_01_01_08.mp4
8,1,1,9,gemini-2.5-flash-preview-05-20,cot,src\esmini\gen_20250608_112612_gemini-2.5-flash-preview-05-20_cot_01_01_09.xosc,src\logs\20250608_112612_gemini_cot\log_20250608_112612_gemini-2.5-flash-preview-05-20_cot_01_01_09_fail.txt,False,6.67917,
9,1,1,10,gemini-2.5-flash-preview-05-20,cot,src\esmini\gen_20250608_112612_gemini-2.5-flash-preview-05-20_cot_01_01_10.xosc,src\logs\20250608_112612_gemini_cot\log_20250608_112612_gemini-2.5-flash-preview-05-20_cot_01_01_10_fail.txt,False,5.712166,
