,experiment count,level,index,model,prompting,scenario file path,log file path,success,generating time,video path
0,1,1,1,gemini-2.5-flash-preview-05-20,ltm,src\esmini\gen_20250608_142131_gemini-2.5-flash-preview-05-20_ltm_01_01_01.xosc,src\logs\20250608_142131_gemini_ltm\log_20250608_142131_gemini-2.5-flash-preview-05-20_ltm_01_01_01_fail.txt,False,12.822315,
1,1,1,2,gemini-2.5-flash-preview-05-20,ltm,src\esmini\gen_20250608_142131_gemini-2.5-flash-preview-05-20_ltm_01_01_02.xosc,src\logs\20250608_142131_gemini_ltm\log_20250608_142131_gemini-2.5-flash-preview-05-20_ltm_01_01_02_fail.txt,False,34.176992,
2,1,1,3,gemini-2.5-flash-preview-05-20,ltm,src\esmini\gen_20250608_142131_gemini-2.5-flash-preview-05-20_ltm_01_01_03.xosc,src\logs\20250608_142131_gemini_ltm\log_20250608_142131_gemini-2.5-flash-preview-05-20_ltm_01_01_03_fail.txt,False,11.388864,
3,1,1,4,gemini-2.5-flash-preview-05-20,ltm,src\esmini\gen_20250608_142131_gemini-2.5-flash-preview-05-20_ltm_01_01_04.xosc,src\logs\20250608_142131_gemini_ltm\log_20250608_142131_gemini-2.5-flash-preview-05-20_ltm_01_01_04_fail.txt,False,7.614039,
4,1,1,5,gemini-2.5-flash-preview-05-20,ltm,src\esmini\gen_20250608_142131_gemini-2.5-flash-preview-05-20_ltm_01_01_05.xosc,src\logs\20250608_142131_gemini_ltm\log_20250608_142131_gemini-2.5-flash-preview-05-20_ltm_01_01_05_success.txt,True,12.94816,src\logs\20250608_142131_gemini_ltm\2초뒤부터뒷차량이내차보다고속주행하는상황_01_01_05.mp4
5,1,1,6,gemini-2.5-flash-preview-05-20,ltm,src\esmini\gen_20250608_142131_gemini-2.5-flash-preview-05-20_ltm_01_01_06.xosc,src\logs\20250608_142131_gemini_ltm\log_20250608_142131_gemini-2.5-flash-preview-05-20_ltm_01_01_06_success.txt,True,19.369706,src\logs\20250608_142131_gemini_ltm\갑작스러운차량차선변경으로인한간섭상황_01_01_06.mp4
6,1,1,7,gemini-2.5-flash-preview-05-20,ltm,src\esmini\gen_20250608_142131_gemini-2.5-flash-preview-05-20_ltm_01_01_07.xosc,src\logs\20250608_142131_gemini_ltm\log_20250608_142131_gemini-2.5-flash-preview-05-20_ltm_01_01_07_success.txt,True,12.825215,src\logs\20250608_142131_gemini_ltm\도로중간에블랙아이스가존재하는상황_01_01_07.mp4
7,1,1,8,gemini-2.5-flash-preview-05-20,ltm,src\esmini\gen_20250608_142131_gemini-2.5-flash-preview-05-20_ltm_01_01_08.xosc,src\logs\20250608_142131_gemini_ltm\log_20250608_142131_gemini-2.5-flash-preview-05-20_ltm_01_01_08_success.txt,True,17.955994,src\logs\20250608_142131_gemini_ltm\중앙선넘어반대편차선에서차량이주행하는상황_01_01_08.mp4
8,1,1,9,gemini-2.5-flash-preview-05-20,ltm,src\esmini\gen_20250608_142131_gemini-2.5-flash-preview-05-20_ltm_01_01_09.xosc,src\logs\20250608_142131_gemini_ltm\log_20250608_142131_gemini-2.5-flash-preview-05-20_ltm_01_01_09_fail.txt,False,7.381628,
9,1,1,10,gemini-2.5-flash-preview-05-20,ltm,src\esmini\gen_20250608_142131_gemini-2.5-flash-preview-05-20_ltm_01_01_10.xosc,src\logs\20250608_142131_gemini_ltm\log_20250608_142131_gemini-2.5-flash-preview-05-20_ltm_01_01_10_success.txt,True,4.917937,src\logs\20250608_142131_gemini_ltm\사고난차량이정차되어있는상황_01_01_10.mp4
10,1,2,1,gemini-2.5-flash-preview-05-20,ltm,src\esmini\gen_20250608_142131_gemini-2.5-flash-preview-05-20_ltm_01_02_01.xosc,src\logs\20250608_142131_gemini_ltm\log_20250608_142131_gemini-2.5-flash-preview-05-20_ltm_01_02_01_fail.txt,False,16.828643,
11,1,2,2,gemini-2.5-flash-preview-05-20,ltm,src\esmini\gen_20250608_142131_gemini-2.5-flash-preview-05-20_ltm_01_02_02.xosc,src\logs\20250608_142131_gemini_ltm\log_20250608_142131_gemini-2.5-flash-preview-05-20_ltm_01_02_02_fail.txt,False,25.8985,
12,1,2,3,gemini-2.5-flash-preview-05-20,ltm,src\esmini\gen_20250608_142131_gemini-2.5-flash-preview-05-20_ltm_01_02_03.xosc,src\logs\20250608_142131_gemini_ltm\log_20250608_142131_gemini-2.5-flash-preview-05-20_ltm_01_02_03_fail.txt,False,10.12688,
13,1,2,4,gemini-2.5-flash-preview-05-20,ltm,src\esmini\gen_20250608_142131_gemini-2.5-flash-preview-05-20_ltm_01_02_04.xosc,src\logs\20250608_142131_gemini_ltm\log_20250608_142131_gemini-2.5-flash-preview-05-20_ltm_01_02_04_fail.txt,False,12.842973,
14,1,2,5,gemini-2.5-flash-preview-05-20,ltm,src\esmini\gen_20250608_142131_gemini-2.5-flash-preview-05-20_ltm_01_02_05.xosc,src\logs\20250608_142131_gemini_ltm\log_20250608_142131_gemini-2.5-flash-preview-05-20_ltm_01_02_05_fail.txt,False,16.709997,
15,1,2,6,gemini-2.5-flash-preview-05-20,ltm,src\esmini\gen_20250608_142131_gemini-2.5-flash-preview-05-20_ltm_01_02_06.xosc,src\logs\20250608_142131_gemini_ltm\log_20250608_142131_gemini-2.5-flash-preview-05-20_ltm_01_02_06_fail.txt,False,25.466241,
16,1,2,7,gemini-2.5-flash-preview-05-20,ltm,src\esmini\gen_20250608_142131_gemini-2.5-flash-preview-05-20_ltm_01_02_07.xosc,src\logs\20250608_142131_gemini_ltm\log_20250608_142131_gemini-2.5-flash-preview-05-20_ltm_01_02_07_fail.txt,False,19.751086,
17,1,2,8,gemini-2.5-flash-preview-05-20,ltm,src\esmini\gen_20250608_142131_gemini-2.5-flash-preview-05-20_ltm_01_02_08.xosc,src\logs\20250608_142131_gemini_ltm\log_20250608_142131_gemini-2.5-flash-preview-05-20_ltm_01_02_08_fail.txt,False,38.958436,
18,1,2,9,gemini-2.5-flash-preview-05-20,ltm,src\esmini\gen_20250608_142131_gemini-2.5-flash-preview-05-20_ltm_01_02_09.xosc,src\logs\20250608_142131_gemini_ltm\log_20250608_142131_gemini-2.5-flash-preview-05-20_ltm_01_02_09_fail.txt,False,20.33824,
19,1,2,10,gemini-2.5-flash-preview-05-20,ltm,src\esmini\gen_20250608_142131_gemini-2.5-flash-preview-05-20_ltm_01_02_10.xosc,src\logs\20250608_142131_gemini_ltm\log_20250608_142131_gemini-2.5-flash-preview-05-20_ltm_01_02_10_fail.txt,False,26.530864,
